Station,X,Y
,82.8,131.4
k,423.6,216.2
h,316.4,188.2
j,141.2,161.0
s,534.0,294.6
w,198.8,187.4
z,498.0,270.6
n,264.4,191.4
v,295.6,188.2
st,339.6,188.2
stub,358.8,189.8
la,386.8,189.0
r,405.2,203.4
sch,439.6,228.2
ed,457.2,242.6
g,477.2,257.0
e,516.4,283.4
